Symbol,Price
KALYANI,138.09
KALYANIFRG,614.9
KALYANKJIL,432.5
KAMATHOTEL,190.56
KAMDHENU,22.53
KAMOPAINTS,4.99
KANANIIND,1.68
KANORICHEM,77.9
KANPRPLA,205.52
KANSAINER,202.42
KAPSTON,393.15
KARMAENG,47.38
KARURVYSYA,318.85
KAUSHALYA,851.9
KAVDEFENCE,76.74
KAYA,325.05
KAYNES,4086.6
KCP,182.54
KCPSUGIND,22.88
KDDL,2384.1
KEC,612.35
KECL,102.38
KEEPLEARN,1.97
KEI,4591.3
KELLTONTEC,18.19
KERNEX,1188.5
KESORAMIND,10.27
KEYFINSERV,300.85
KFINTECH,985.0
KHADIM,155.48
KHAICHEM,62.37
KHAITANLTD,99.45
KHANDSE,19.19
KICL,4955.8
KILITCH,330.0
KIMS,697.8
KINGFA,4374.6
KIOCL,360.55
KIRIINDUS,467.4
KIRLOSBROS,1618.9
KIRLOSENG,1337.0
KIRLOSIND,3274.6
KIRLPNU,1157.0
KITEX,199.5
KKCL,514.6
KMEW,1724.1
KMSUGAR,25.54
KNAGRI,152.74
KNRCON,146.48
KOHINOOR,26.48
KOKUYOCMLN,90.1
KOLTEPATIL,362.05
KOPRAN,136.22
KOTAKBANK,426.25
KOTARISUG,26.76
KOTHARIPET,120.05
KOTHARIPRO,66.93
KPEL,307.75
KPIGREEN,412.05
KPIL,1101.9
KPITTECH,891.5
KPRMILL,897.8
KRBL,371.55
KREBSBIO,58.63
KRIDHANINF,3.59
KRISHANA,527.8
KRISHIVAL,338.5
KRISHNADEF,986.2
KRITI,87.38
KRITIKA,6.68
KRITINUT,74.38
KRN,734.1
KRONOX,126.63
KROSS,217.26
KRSNAA,674.65
KRYSTAL,650.2
KSB,720.85
KSCL,902.85
KSHINTL,365.1
KSHITIJPOL,2.94
KSL,758.15
KSOLVES,300.25
KSR,32.49
KTKBANK,201.23
KUANTUM,97.63
LAGNAM,77.2
LAKPRE,5.25
LAL,8.17
LALPATHLAB,1435.3
LAMBODHARA,112.55
LANCORHOL,28.27
LANDMARK,426.8
LAOPALA,200.75
LASA,8.91
LATENTVIEW,390.85
LATTEYS,21.8
LAURUSLABS,1018.6
LAXMICOT,22.22
LAXMIDENTL,203.47
LAXMIINDIA,108.64
LCCINFOTEC,5.12
LEMERITE,469.55
LEMONTREE,131.23
LENSKART,513.0
LEXUS,33.76
LFIC,137.09
LGBBROSLTD,2007.8
LGEINDIA,1469.0
LGHL,326.0
LIBAS,10.7
LIBERTSHOE,280.64
LICHSGFIN,517.1
LICI,880.95
LIKHITHA,171.57
LINC,111.75
LINCOLN,615.8
LINDEINDIA,6440.5
LLOYDSENGG,53.54
LLOYDSENT,57.21
LLOYDSME,1225.6
LMW,15416.0
LODHA,1084.85
LOKESHMACH,178.5
LORDSCHLO,140.68
LOTUSDEV,151.57
LOTUSEYE,118.87
LOVABLE,78.06
LOYALTEX,247.68
LPDC,6.46
LT,4185.9
LTF,292.05
LTFOODS,428.85
LTIM,5211.5
LTTS,3704.1
LUMAXIND,6423.5
LUMAXTECH,1784.2
LUPIN,2211.1
LUXIND,986.1
LXCHEM,151.87
LYKALABS,70.21
LYPSAGEMS,5.79
M&M,3593.1
M&MFIN,379.05
MAANALU,150.05
MACPOWER,891.2
MADHAV,40.13
MADHUCON,5.15
MADRASFERT,71.7
MAGADSUGAR,445.45
MAGNUM,22.96
MAHABANK,65.59
MAHAPEXLTD,92.03
MAHASTEEL,715.0
MAHEPC,124.59
MAHESHWARI,43.63
MAHLIFE,370.3
MAHLOG,409.8
MAHSCOOTER,13538.0
MAHSEAMLES,547.1
MAITHANALL,1075.5
MALLCOM,1195.7
MALUPAPER,33.23
MAMATA,425.45
MANAKALUCO,31.64
MANAKCOAT,121.65
MANAKSIA,63.4
MANAKSTEEL,62.18
MANALIPETC,59.88
MANAPPURAM,308.65
MANBA,126.7
MANCREDIT,164.72
MANGALAM,33.91
MANGLMCEM,795.75
MANINDS,429.6
MANINFRA,113.32
MANKIND,2079.0
MANOMAY,223.88
MANORAMA,1431.7
MANORG,414.95
MANUGRAPH,15.98
MANYAVAR,479.5
MAPMYINDIA,1285.4
MARALOVER,44.72
MARATHON,495.4
MARICO,770.65
MARINE,188.21
MARKOLINES,160.31
MARKSANS,187.87
MARUTI,15326.0
MASFIN,336.05
MASKINVEST,136.48
MASTEK,1790.3
